timestamp,latitude,longitude,temperature,condition,fish,fly
2021-04-13T18:18:20-04:00,39.88435468230041,-75.43093624887585,64.4°F,Clear,Bluegill,Parachute Adams
2021-04-13T18:24:51-04:00,39.88498080830954,-75.430155763534,64.4°F,Clear,Fallfish,Parachute Adams
2021-04-13T18:47:05-04:00,39.8857210127814,-75.42885081224289,62.6°F,Clear,Bluegill,Blue winged olive
